# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,1623.74485379141,1623.87694480067,1623.77675991055,1623.96468758727,1623.90492209446,1623.96468758727,1623.75493934387
2,1623.32469310015,1622.97769730963,1622.83651145367,1623.411475,1623.27479509409,1623.469286,1623.24972654617
4,1623.09094737592,1622.65461011429,1622.64340069411,1623.330627,1623.1962471252,1623.339708,1623.19110672791
6,1622.99178582099,1622.42122689617,1622.49580330686,1623.198249,1623.14410333622,1623.243571,1623.07537865021
8,1622.90781665966,1622.310118461,1622.38017289124,1623.149233,1623.12124438066,1623.20636,1623.04188009332
10,1622.87399114254,1622.22632071612,1622.31186480294,1623.123988,1623.10996672986,1623.182648,1623.03784986182
12,1622.79871888011,1622.1767456307,1622.218309336,1623.117932,1623.06883202988,1623.167439,1623.01155371364
14,1622.73296878681,1622.12927332796,1622.15687866425,1623.088843,1622.98046974385,1623.105005,1622.96226594308
16,1622.72215895776,1622.09546461636,1622.10732951763,1623.064551,1622.95812414438,1623.080875,1622.94029367581
18,1622.6767059433,1622.07280581014,1622.08270802218,1623.046492,1622.94521638692,1623.062472,1622.94029367581
20,1622.62575270583,1622.05079456081,1622.03943161067,1623.023795,1622.9258843914,1623.023514,1622.93983085531
22,1622.59124751432,1622.03485655593,1622.01654272363,1623.014762,1622.90961319321,1623.007612,1622.92571773651
24,1622.56330038854,1622.02379325182,1621.9723549403,1622.989741,1622.87606715198,1622.977586,1622.91046788362
26,1622.46448130689,1622.01121132758,1621.9422014853,1622.984885,1622.87056857937,1622.962346,1622.8862862605
28,1622.43642994609,1622.00029539013,1621.9132278937,1622.962329,1622.86447271656,1622.936209,1622.8862862605
30,1622.38731840188,1621.98902142024,1621.88449258418,1622.949389,1622.85364476245,1622.927015,1622.8492754489
32,1622.33032844092,1621.98202301594,1621.84926033147,1622.937795,1622.83305982427,1622.923934,1622.8308310073
34,1622.31169326884,1621.97293953902,1621.82847001995,1622.912156,1622.82495618152,1622.90651,1622.8308310073
36,1622.30852070417,1621.96540649386,1621.80786468805,1622.897724,1622.81731786574,1622.906368,1622.82416412507
38,1622.3065152721,1621.96020083153,1621.79570713627,1622.886184,1622.81390788167,1622.897147,1622.80193016829
40,1622.28733480763,1621.95407323132,1621.76678364076,1622.873839,1622.81349608342,1622.874429,1622.79939546686
42,1622.26606345794,1621.94921600553,1621.75072530681,1622.873839,1622.80524782559,1622.862667,1622.79558566575
44,1622.23629165313,1621.94397166687,1621.7276373473,1622.854589,1622.80524782559,1622.836142,1622.78988840133
46,1622.21675179749,1621.94083765711,1621.70285757738,1622.854589,1622.78654054253,1622.82181,1622.77537101796
48,1622.1821419362,1621.93816745692,1621.69162859214,1622.836616,1622.76875508197,1622.82181,1622.75947594168
50,1622.1821419362,1621.93439324896,1621.67900151084,1622.823476,1622.76875508197,1622.82181,1622.75272650976
52,1622.13790290163,1621.93074616822,1621.66074428726,1622.821423,1622.76875508197,1622.81706,1622.73853924151
54,1622.10857209542,1621.92844649333,1621.63249906674,1622.81412,1622.76263835493,1622.780455,1622.73848146037
56,1622.07636333643,1621.92505851657,1621.61682982839,1622.81412,1622.75693855308,1622.77053,1622.72106103419
58,1622.06815741064,1621.92239849152,1621.59799283419,1622.812743,1622.75693855308,1622.75267,1622.72047081555
60,1622.06007476789,1621.91801955109,1621.58703692771,1622.808954,1622.73731989152,1622.745678,1622.71889600548
62,1622.06007476789,1621.91449339227,1621.57760629718,1622.803208,1622.73731989152,1622.712145,1622.69317527108
64,1622.02548066379,1621.90885563506,1621.54643762869,1622.795204,1622.73312317817,1622.712145,1622.67864033437
66,1622.02548066379,1621.90547239329,1621.53366606923,1622.776446,1622.72851265082,1622.712145,1622.64994791507
68,1622.00925836047,1621.90316101893,1621.52179932311,1622.773057,1622.72509785964,1622.707794,1622.64544447029
70,1622.00020726837,1621.90004391272,1621.51199109315,1622.769659,1622.72509785964,1622.707794,1622.63090716358
72,1621.9785489841,1621.89733035263,1621.50480369495,1622.747373,1622.69688703759,1622.707794,1622.60548865877
74,1621.96581023039,1621.89359546824,1621.49244998838,1622.744521,1622.65951040103,1622.707794,1622.59126659261
76,1621.95761491694,1621.89075726687,1621.4863627561,1622.742468,1622.65951040103,1622.70349,1622.58430264482
78,1621.93732587458,1621.8874063876,1621.45922180463,1622.716206,1622.64995184873,1622.701718,1622.57784426739
80,1621.93213343439,1621.88363815786,1621.45056945631,1622.716206,1622.62762387903,1622.701718,1622.56115028024
82,1621.92804854877,1621.8804441429,1621.43651611458,1622.716206,1622.62762387903,1622.701117,1622.55148914853
84,1621.91305143662,1621.87848301819,1621.43049134291,1622.708219,1622.62280532967,1622.695255,1622.54903868975
86,1621.90939608395,1621.87651851385,1621.42151413267,1622.708219,1622.62280532967,1622.695255,1622.52988189042
88,1621.88301427148,1621.87500054028,1621.41586154963,1622.694873,1622.62166777561,1622.693607,1622.51475015492
90,1621.88104121914,1621.87363051387,1621.40763103545,1622.694873,1622.62166777561,1622.680991,1622.50398764245
92,1621.87721087433,1621.8708104223,1621.40211967716,1622.694873,1622.61723857477,1622.678995,1622.49450693062
94,1621.87439161766,1621.86889210995,1621.39527302661,1622.694873,1622.61723857477,1622.668337,1622.48897256158
96,1621.84483978507,1621.86772488633,1621.39039869709,1622.685062,1622.61723857477,1622.668337,1622.47966841758
98,1621.83874892285,1621.86490020865,1621.38243475084,1622.683174,1622.61723857477,1622.659891,1622.47378155321
100,1621.82067102066,1621.86132162608,1621.37481258378,1622.680383,1622.61723857477,1622.639251,1622.4694171808
