CEC17,KTFSELS_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
CI_HS,4.93E-04,3.80E+00,3.60E-01(+),2.10E+02(+),3.69E-01(+),1.96E+02(+),2.27E-03(+),5.98E+01(+),1.13E-01(+),1.57E+02(+),1.80E-02(+),7.21E+01(+),1.18E-02(+),1.07E+01(+),4.46E-02(+),1.18E+02(+),3.83E-04(=),1.56E+00(=),win,win,win,win,win,win,win,win,win,win,win,win,win,win,tie,tie,
CI_MS,1.25E-09,0.00E+00,4.61E+00(+),2.14E+02(+),3.96E+00(+),1.96E+02(+),1.03E-01(+),6.58E-01(+),1.08E+00(+),1.28E+02(+),1.30E+00(+),7.26E+01(+),2.07E-03(+),3.60E-03(+),3.39E-01(+),1.12E+02(+),0.00E+00(-),0.00E+00(=),win,win,win,win,win,win,win,win,win,win,win,win,win,win,lose,tie,
CI_LS,2.08E+01,2.91E+03,2.01E+01(-),3.69E+03(+),2.01E+01(-),3.34E+03(+),2.12E+01(+),1.23E+04(+),2.12E+01(+),1.03E+04(+),2.12E+01(+),5.36E+03(+),2.12E+01(+),7.99E+03(+),2.12E+01(+),6.37E+03(+),2.12E+01(+),1.19E+04(+),lose,win,lose,win,win,win,win,win,win,win,win,win,win,win,win,win,
PI_HS,1.41E+02,3.21E-04,5.89E+02(+),8.99E+00(+),4.58E+02(+),3.83E+00(+),4.11E+02(+),1.56E-01(+),4.40E+02(+),3.37E+00(+),6.56E+01(-),3.38E-03(+),5.31E-05(-),1.23E-06(=),1.38E+02(=),2.95E-01(+),3.53E+02(+),3.46E-01(+),win,win,win,win,win,win,win,win,lose,win,lose,tie,tie,win,win,win,
PI_MS,6.10E-02,5.30E+01,3.71E+00(+),6.51E+02(+),3.38E+00(+),7.10E+02(+),3.37E-02(=),8.79E+01(+),1.54E-01(+),9.59E+01(+),5.08E-01(+),1.11E+02(+),5.00E-03(=),1.13E+02(+),5.63E-01(+),7.90E+01(+),4.06E-03(=),7.47E+01(+),win,win,win,win,tie,win,win,win,win,win,tie,win,win,win,tie,win,
PI_LS,1.35E-15,9.57E-20,2.00E+01(+),2.08E+01(+),1.30E+01(+),1.30E+01(+),5.86E-01(+),8.40E-02(+),1.36E+01(+),9.27E+00(+),2.21E+00(+),2.78E+00(+),1.39E-04(+),9.19E-03(+),2.32E+00(+),2.50E+00(+),4.02E+00(+),1.13E+00(+),win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,
NI_HS,5.00E+01,1.59E+00,8.84E+02(+),2.62E+02(+),1.30E+03(+),2.82E+02(+),9.13E+01(+),7.82E+01(+),3.63E+02(+),3.12E+02(+),1.60E+02(+),7.55E+01(+),8.95E+01(+),1.14E+02(+),1.43E+02(+),1.31E+02(+),4.60E+01(-),4.45E+00(+),win,win,win,win,win,win,win,win,win,win,win,win,win,win,lose,win,
NI_MS,6.10E-03,5.03E+00,4.29E-01(+),2.80E+01(+),2.67E-01(+),2.59E+01(+),1.98E-02(=),4.29E+00(=),2.72E-01(+),9.11E+00(+),1.03E-02(=),1.22E+01(+),7.34E-04(=),6.35E+00(=),9.44E-02(+),3.90E+00(-),7.69E-03(=),1.67E+00(-),win,win,win,win,tie,tie,win,win,tie,win,tie,tie,win,lose,tie,lose,
NI_LS,2.49E+02,2.90E+03,6.06E+02(+),3.70E+03(+),4.75E+02(+),3.36E+03(+),4.24E+02(+),1.13E+04(+),4.55E+02(+),1.48E+04(+),3.01E+02(+),4.58E+03(+),4.67E+02(+),9.86E+03(+),3.32E+02(+),1.63E+03(-),4.29E+02(+),1.90E+03(-),win,win,win,win,win,win,win,win,win,win,win,win,win,lose,win,lose,
w/t/l,,,17 | 0 | 1,,17 | 0 | 1,,15 | 3 | 0,,18 | 0 | 0,,16 | 1 | 1,,13 | 4 | 1,,15 | 1 | 2,,9 | 5 | 4,,

CEC22,KTFSELS_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,MFEAOriginal_fit,,MFEA-II_fit,,MFDE_fit,,AEMTO_fit,,MTGA_fit,,OTMTO_fit,,BLKT_fit,,MKTDE_fit,,
,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,T1,T2,
Benchmark1,6.06E+02,6.06E+02,6.46E+02(+),6.47E+02(+),6.46E+02(+),6.46E+02(+),6.06E+02(=),6.06E+02(=),6.20E+02(+),6.20E+02(+),6.21E+02(+),6.20E+02(+),6.09E+02(+),6.09E+02(+),6.17E+02(+),6.15E+02(+),6.06E+02(=),6.06E+02(=),win,win,win,win,tie,tie,win,win,win,win,win,win,win,win,tie,tie,
Benchmark2,7.00E+02,7.00E+02,7.01E+02(+),7.01E+02(+),7.01E+02(+),7.01E+02(+),7.00E+02(=),7.00E+02(=),7.01E+02(+),7.01E+02(+),7.00E+02(+),7.00E+02(+),7.00E+02(=),7.00E+02(-),7.01E+02(+),7.01E+02(+),7.00E+02(+),7.00E+02(+),win,win,win,win,tie,tie,win,win,win,win,tie,lose,win,win,win,win,
Benchmark3,4.54E+05,3.63E+05,3.35E+06(+),3.58E+06(+),2.38E+06(+),2.74E+06(+),7.73E+06(+),7.28E+06(+),2.10E+07(+),1.95E+07(+),1.90E+06(+),2.29E+06(+),5.28E+07(+),4.18E+07(+),3.89E+06(+),2.91E+06(+),6.95E+06(+),6.31E+06(+),win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,
Benchmark4,1.30E+03,1.30E+03,1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(=),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(-),1.30E+03(=),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),1.30E+03(+),win,win,win,tie,win,win,win,win,lose,tie,win,win,win,win,win,win,
Benchmark5,1.53E+03,1.52E+03,1.56E+03(+),1.55E+03(+),1.54E+03(+),1.54E+03(+),1.53E+03(+),1.53E+03(+),1.54E+03(+),1.54E+03(+),1.51E+03(-),1.51E+03(-),1.53E+03(+),1.53E+03(+),1.54E+03(+),1.54E+03(+),1.54E+03(+),1.54E+03(+),win,win,win,win,win,win,win,win,lose,lose,win,win,win,win,win,win,
Benchmark6,2.71E+05,1.87E+05,1.61E+06(+),1.41E+06(+),1.50E+06(+),1.30E+06(+),2.18E+06(+),2.09E+06(+),9.23E+06(+),9.25E+06(+),1.30E+06(+),6.39E+05(+),2.16E+07(+),2.27E+07(+),1.43E+06(+),1.25E+06(+),2.04E+07(+),1.80E+07(+),win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,win,
Benchmark7,3.14E+03,3.15E+03,3.32E+03(=),3.18E+03(=),3.19E+03(=),3.33E+03(=),3.86E+03(+),3.89E+03(+),4.10E+03(+),4.14E+03(+),2.80E+03(-),2.85E+03(-),4.33E+03(+),4.38E+03(+),2.98E+03(=),3.07E+03(=),4.20E+03(+),4.33E+03(+),tie,tie,tie,tie,win,win,win,win,lose,lose,win,win,tie,tie,win,win,
Benchmark8,5.21E+02,5.21E+02,5.20E+02(-),5.20E+02(-),5.20E+02(-),5.20E+02(-),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),5.21E+02(+),lose,lose,lose,lose,win,win,win,win,win,win,win,win,win,win,win,win,
Benchmark9,8.80E+03,1.62E+03,8.38E+03(=),1.62E+03(=),7.77E+03(-),1.62E+03(=),1.50E+04(+),1.62E+03(+),1.48E+04(+),1.62E+03(+),7.54E+03(-),1.62E+03(-),1.49E+04(+),1.62E+03(+),9.28E+03(=),1.62E+03(+),1.49E+04(+),1.62E+03(+),tie,tie,lose,tie,win,win,win,win,lose,lose,win,win,tie,win,win,win,
Benchmark10,1.50E+04,4.38E+05,3.01E+04(+),2.92E+06(+),3.63E+04(+),2.14E+06(+),2.55E+04(+),2.24E+06(+),5.04E+04(+),1.07E+07(+),1.65E+04(=),1.76E+06(+),7.68E+04(+),2.07E+07(+),4.25E+04(+),2.35E+06(+),7.43E+04(+),2.47E+07(+),win,win,win,win,win,win,win,win,tie,win,win,win,win,win,win,win,
w/t/l,,,14 | 4 | 2,,13 | 4 | 3,,16 | 4 | 0,,20 | 0 | 0,,11 | 2 | 7,,18 | 1 | 1,,17 | 3 | 0,,18 | 2 | 0,,