,MFDEOriginal_fit,,MFDEOriginal200_fit,,MFDEOriginal200_fit,,
,T1,T2,T1,T2,T1,T2,
CI_HS,5.992903886919975e-07,1.2750432588504168e-05,0.001788538820238017,0.04071882464484924,win,win
CI_MS,0.1247273518794928,0.8475791261618599,0.012861815086744333,0.09987766370136955,tie,tie
CI_LS,20.91903845218566,4417.689729287919,21.18987558968305,6904.659518545578,win,win
PI_HS,86.06538476680932,1.33813194227448e-05,55.14668978716105,0.0013847691881341702,lose,win
PI_MS,0.0024773055580042946,74.30246404585024,0.01882873916353971,47.44309652339302,win,lose
PI_LS,0.4456950076696309,0.13469178418355596,0.28889028399925043,0.381982386240698,tie,win
NI_HS,92.96307665287603,23.78858797410263,47.627124659938126,0.583648803633667,lose,lose
NI_MS,2.5345140817123467e-05,3.4621564133173437,0.0036467772538529173,0.596295335393142,win,lose
NI_LS,198.47837744355064,4973.9050680633845,369.6138724209001,2444.7261866912095,win,lose
Benchmark1,603.6418760965145,604.0027533707223,610.5264948849524,610.7863519393643,win,win
Benchmark2,700.0001154485344,700.0008820624173,700.0068613537279,700.0073436564549,win,win
Benchmark3,4582525.303961769,4747035.897360014,12312723.093644299,12522234.403757222,win,win
Benchmark4,1300.5835374401722,1300.5546221868929,1300.6109710726455,1300.570493390008,tie,tie
Benchmark5,1532.0264122785895,1533.4902978563362,1532.8154892852956,1534.8889180655688,tie,win
Benchmark6,2332755.9534365875,1773855.477289357,5468692.974054284,4575217.015383096,win,win
Benchmark7,3819.996841288009,3942.209836731932,3922.4400459823364,3960.3482966662255,tie,tie
Benchmark8,521.2165772803232,521.2160994619828,521.1889548430889,521.1844339770387,lose,lose
Benchmark9,14889.189049693528,1622.4844243350105,14851.217470877596,1622.5133818107847,tie,tie
Benchmark10,24198.367012469633,2378797.1331492374,33055.181578432515,5329056.8235135125,win,win
w/t/l,,,20 | 10 | 8,,